Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Kiribati,KIR,117606
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25666161
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51709098
"Population, total",SP.POP.TOTL,Kosovo,XKX,1794248
"Population, total",SP.POP.TOTL,Kuwait,KWT,4207083
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7169455
"Population, total",SP.POP.TOTL,Latvia,LVA,1912789
"Population, total",SP.POP.TOTL,Lebanon,LBN,6855713
"Population, total",SP.POP.TOTL,Lesotho,LSO,2125268
"Population, total",SP.POP.TOTL,Liberia,LBR,4937374
"Population, total",SP.POP.TOTL,Libya,LBY,6777452
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38019
"Population, total",SP.POP.TOTL,Lithuania,LTU,2786844
"Population, total",SP.POP.TOTL,Luxembourg,LUX,619896
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,640445
"Population, total",SP.POP.TOTL,Madagascar,MDG,26969307
"Population, total",SP.POP.TOTL,Malawi,MWI,18628747
"Population, total",SP.POP.TOTL,Malaysia,MYS,31949777
"Population, total",SP.POP.TOTL,Maldives,MDV,530953
"Population, total",SP.POP.TOTL,Mali,MLI,19658031
"Population, total",SP.POP.TOTL,Malta,MLT,502653
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58791
"Population, total",SP.POP.TOTL,Mauritania,MRT,4525696
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265711
"Population, total",SP.POP.TOTL,Mexico,MEX,127575529
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,113815
"Population, total",SP.POP.TOTL,Moldova,MDA,2657637
"Population, total",SP.POP.TOTL,Monaco,MCO,38964
"Population, total",SP.POP.TOTL,Mongolia,MNG,3225167
"Population, total",SP.POP.TOTL,Montenegro,MNE,622137
"Population, total",SP.POP.TOTL,Morocco,MAR,36471769
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30366036
"Population, total",SP.POP.TOTL,Myanmar,MMR,54045420
"Population, total",SP.POP.TOTL,Namibia,NAM,2494530
"Population, total",SP.POP.TOTL,Nauru,NRU,12581
"Population, total",SP.POP.TOTL,Nepal,NPL,28608710
"Population, total",SP.POP.TOTL,Netherlands,NLD,17332850
"Population, total",SP.POP.TOTL,New Caledonia,NCL,287800
"Population, total",SP.POP.TOTL,New Zealand,NZL,4917000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6545502
"Population, total",SP.POP.TOTL,Niger,NER,23310715
"Population, total",SP.POP.TOTL,Nigeria,NGA,200963599
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2083459
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57216
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4974986
"Population, total",SP.POP.TOTL,Pakistan,PAK,216565318
"Population, total",SP.POP.TOTL,Palau,PLW,18008
"Population, total",SP.POP.TOTL,Panama,PAN,4246439
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8776109
"Population, total",SP.POP.TOTL,Paraguay,PRY,7044636
"Population, total",SP.POP.TOTL,Peru,PER,32510453
"Population, total",SP.POP.TOTL,Philippines,PHL,108116615
"Population, total",SP.POP.TOTL,Poland,POL,37970874
"Population, total",SP.POP.TOTL,Portugal,PRT,10269417
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2832067
"Population, total",SP.POP.TOTL,Romania,ROU,19356544
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144373535
"Population, total",SP.POP.TOTL,Rwanda,RWA,12626950
"Population, total",SP.POP.TOTL,Samoa,WSM,197097
"Population, total",SP.POP.TOTL,San Marino,SMR,33860
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,215056
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,34268528
"Population, total",SP.POP.TOTL,Senegal,SEN,16296364
"Population, total",SP.POP.TOTL,Serbia,SRB,6944975
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7813215
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40733
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454073
"Population, total",SP.POP.TOTL,Slovenia,SVN,2087946
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,669823
"Population, total",SP.POP.TOTL,Somalia,SOM,15442905
"Population, total",SP.POP.TOTL,South Africa,ZAF,58558270
"Population, total",SP.POP.TOTL,South Sudan,SSD,11062113
"Population, total",SP.POP.TOTL,Spain,ESP,47076781
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52823
"Population, total",SP.POP.TOTL,St. Lucia,LCA,182790
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,38002
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110589
"Population, total",SP.POP.TOTL,Sudan,SDN,42813238
"Population, total",SP.POP.TOTL,Suriname,SUR,581372
"Population, total",SP.POP.TOTL,Sweden,SWE,10285453
"Population, total",SP.POP.TOTL,Switzerland,CHE,8574832
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17070135
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9321018
"Population, total",SP.POP.TOTL,Tanzania,TZA,58005463
"Population, total",SP.POP.TOTL,Thailand,THA,69625582
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1293119
"Population, total",SP.POP.TOTL,Togo,TGO,8082366
"Population, total",SP.POP.TOTL,Tonga,TON,104494
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1394973
"Population, total",SP.POP.TOTL,Tunisia,TUN,11694719
"Population, total",SP.POP.TOTL,Turkey,TUR,83429615
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5942089
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38191
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11646
"Population, total",SP.POP.TOTL,Uganda,UGA,44269594
"Population, total",SP.POP.TOTL,Ukraine,UKR,44385155
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9770529
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66834405
"Population, total",SP.POP.TOTL,United States,USA,328239523
"Population, total",SP.POP.TOTL,Uruguay,URY,3461734
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,33580650
"Population, total",SP.POP.TOTL,Vanuatu,VUT,299882
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28515829
"Population, total",SP.POP.TOTL,Vietnam,VNM,96462106
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106631
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,29161922
"Population, total",SP.POP.TOTL,Zambia,ZMB,17861030
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14645468
"Population, total",SP.POP.TOTL,Arab World,ARB,427870270
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7401381
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102378579
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3290290622
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2340628292
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2093675040
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2067984156
"Population, total",SP.POP.TOTL,Euro area,EMU,342597698
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,921140092
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,399404587
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,460799505
"Population, total",SP.POP.TOTL,European Union,EUU,447512041
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,798138587
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,801708035
"Population, total",SP.POP.TOTL,High income,HIC,1235852827
"Population, total",SP.POP.TOTL,IBRD only,IBD,4816235951
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6486934851
"Population, total",SP.POP.TOTL,IDA blend,IDB,561572202
"Population, total",SP.POP.TOTL,IDA only,IDX,1109126698
"Population, total",SP.POP.TOTL,IDA total,IDA,1670698900
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2298470832
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,646430841
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,613773128
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,630644770
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1033388876
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6437681145
"Population, total",SP.POP.TOTL,Low income,LIC,668454965
"Population, total",SP.POP.TOTL,Lower middle income,LMC,2913363391
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,456707404
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,389457086
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,384771780
"Population, total",SP.POP.TOTL,Middle income,MIC,5769226180
"Population, total",SP.POP.TOTL,North America,NAC,365892703
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1359963500
"Population, total",SP.POP.TOTL,Other small states,OSS,31360407
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2493696
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1112914457
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,944902749
"Population, total",SP.POP.TOTL,Small states,SST,41255484
"Population, total",SP.POP.TOTL,South Asia,SAS,1835776742
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1835776742
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1106957898
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1105594562
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957898
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2855862789
"Population, total",SP.POP.TOTL,World,WLD,7673533972
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2020,,,,
